"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UFBHITQB","journalArticle","2015","Gralinski, L.E.; Baric, R.S.","Molecular pathology of emerging coronavirus infections","Journal of Pathology","","00223417 (ISSN)","10.1002/path.4454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917707365&doi=10.1002%2fpath.4454&partnerID=40&md5=fb4160c90eabbb45324408c45bb5751b","Respiratory viruses can cause a wide spectrum of pulmonary diseases, ranging from mild, upper respiratory tract infections to severe and life-threatening lower respiratory tract infections, including the development of acute lung injury (ALI) and acute respiratory distress syndrome (ARDS). Viral clearance and subsequent recovery from infection require activation of an effective host immune response; however, many immune effector cells may also cause injury to host tissues. Severe acute respiratory syndrome (SARS) coronavirus and Middle East respiratory syndrome (MERS) coronavirus cause severe infection of the lower respiratory tract, with 10%and 35% overall mortality rates, respectively; however, >50% mortality rates are seen in the aged and immunosuppressed populations. While these viruses are susceptible to interferon treatment in vitro, they both encode numerous genes that allow for successful evasion of the host immune system until after high virus titres have been achieved. In this review, we discuss the importance of the innate immune response and the development of lung pathology following human coronavirus infection. Copyright © 2014 Pathological Society of Great Britain and Ireland. Published by John Wiley & Sons, Ltd.","2015","2021-11-01 22:17:05","2021-11-12 20:02:05","","185-195","","2","235","","","","","","","","","","","","","Scopus","","","","Publisher: John Wiley and Sons Ltd","","/Users/jodi/Zotero/storage/83C4R37D/Gralinski and Baric - 2015 - Molecular pathology of emerging coronavirus infect.pdf; /Users/jodi/Zotero/storage/II2T2DFQ/Gralinski and Baric - 2015 - Molecular pathology of emerging coronavirus infect.pdf; ; ","http://www.ncbi.nlm.nih.gov/pubmed/25270030; http://www.ncbi.nlm.nih.gov/pubmed/25270030","human; disease severity; risk factor; nonhuman; aging; upper respiratory tract infection; in vitro study; predictive value; Humans; Risk Factors; Animals; immune response; adult respiratory distress syndrome; Predictive Value of Tests; Virology; Coronavirus Infections; Coronavirus; SARS Virus; Middle East Respiratory Syndrome Coronavirus; procedures; Article; Severe Acute Respiratory Syndrome; acute lung injury; Antiviral Agents; ARDS; Biopsy; Communicable Diseases, Emerging; Host-Pathogen Interactions; Immunity, Innate; MERS-CoV; Pathology, Molecular; Respiratory System; SARS-CoV; Virulence; Coronavirus infection; isolation and purification; virology; virus cell interaction; animal; Coronaviridae; immunology; respiratory system; SARS coronavirus; pathology; Middle East respiratory syndrome coronavirus; pathogenicity; severe acute respiratory syndrome; Acute lung injury; Acute respiratory distress syndrome; antivirus agent; biopsy; communicable disease; drug effects; effector cell; high risk population; host pathogen interaction; immune evasion; immunocompetent cell; immunocompromised patient; innate immunity; interferon; lower respiratory tract infection; molecular pathology; Type II pneumocytes; virulence","coronavirus; acute respiratory distress syndrome; type II pneumocytes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U3EJXNDS","journalArticle","2017","Coleman, C.M.; Venkataraman, T.; Liu, Y.V.; Glenn, G.M.; Smith, G.E.; Flyer, D.C.; Frieman, M.B.","MERS-CoV spike nanoparticles protect mice from MERS-CoV infection","Vaccine","","0264410X (ISSN)","10.1016/j.vaccine.2017.02.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013449789&doi=10.1016%2fj.vaccine.2017.02.012&partnerID=40&md5=36b4719ac14af1529f06399af9036bbd","The Middle East respiratory syndrome coronavirus (MERS-CoV) was first discovered in late 2012 and has gone on to cause over 1800 infections and 650 deaths. There are currently no approved therapeutics or vaccinations for MERS-CoV. The MERS-CoV spike (S) protein is responsible for receptor binding and virion entry to cells, is immunodominant and induces neutralizing antibodies in vivo, all of which, make the S protein an ideal target for anti-MERS-CoV vaccines. In this study, we demonstrate protection induced by vaccination with a recombinant MERS-CoV S nanoparticle vaccine and Matrix-M1 adjuvant combination in mice. The MERS-CoV S nanoparticle vaccine produced high titer anti-S neutralizing antibody and protected mice from MERS-CoV infection in vivo. © 2017 Elsevier Ltd","2017","2021-11-01 22:17:05","2021-11-12 20:01:32","","1586-1589","","12","35","","","","","","","","","","","","","Scopus","","","","Publisher: Elsevier Ltd","","/Users/jodi/Zotero/storage/TZDRDP8D/Coleman et al. - 2017 - MERS-CoV spike nanoparticles protect mice from MER.pdf; /Users/jodi/Zotero/storage/BUCG6UJT/Coleman et al. - 2017 - MERS-CoV spike nanoparticles protect mice from MER.pdf; ; ","http://www.ncbi.nlm.nih.gov/pubmed/28237499; http://www.ncbi.nlm.nih.gov/pubmed/28237499","priority journal; controlled study; unclassified drug; disease model; nonhuman; in vivo study; genetics; antibody titer; Animals; vaccination; Mice, Inbred BALB C; Coronavirus Infections; Coronavirus; Antibodies, Viral; Viral Vaccines; Middle East Respiratory Syndrome Coronavirus; Disease Models, Animal; Article; MERS-CoV; Adjuvants, Immunologic; Antibodies, Neutralizing; Mouse model; Nanoparticle vaccine; Spike Glycoprotein, Coronavirus; Vaccines, Synthetic; Vaccines, Virus-Like Particle; Coronavirus infection; animal; blood; virus antibody; immunology; Middle East respiratory syndrome coronavirus; animal experiment; animal model; mouse; neutralizing antibody; antibody production; Bagg albino mouse; coronavirus spike glycoprotein; immunological adjuvant; Middle East respiratory syndrome; nanoparticle; recombinant Middle East respiratory syndrome coronavirus spike protein nanoparticle vaccine; recombinant vaccine; virus like particle vaccine; virus spike protein; virus vaccine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I5P6EXPZ","journalArticle","2021","Morris, D.H.; Yinda, K.C.; Gamble, A.; Rossine, F.W.; Huang, Q.; Bushmaker, T.; Fischer, R.J.; Jeremiah Matson, M.; van Doremalen, N.; Vikesland, P.J.; Marr, L.C.; Munster, V.J.; Lloyd-Smith, J.O.","Mechanistic theory predicts the effects of temperature and humidity on inactivation of sars-cov-2 and other enveloped viruses","eLife","","2050084X (ISSN)","10.7554/ELIFE.65902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105727271&doi=10.7554%2fELIFE.65902&partnerID=40&md5=86efb7eac96d05aa8c6a8e4285f64d19","Ambient temperature and humidity strongly affect inactivation rates of enveloped viruses, but a mechanistic, quantitative theory of these effects has been elusive. We measure the stability of SARS-CoV-2 on an inert surface at nine temperature and humidity conditions and develop a mechanistic model to explain and predict how temperature and humidity alter virus inactivation. We find SARS-CoV-2 survives longest at low temperatures and extreme relative humidities (RH); median estimated virus half-life is &gt;24 hours at 10◦C and 40 % RH, but ∼1.5 hours at 27◦C and 65 % RH. Our mechanistic model uses fundamental chemistry to explain why inactivation rate increases with increased temperature and shows a U-shaped dependence on RH. The model accurately predicts existing measurements of five different human coronaviruses, suggesting that shared mechanisms may affect stability for many viruses. The results indicate scenarios of high transmission risk, point to mitigation strategies, and advance the mechanistic study of virus transmission. © 2021, eLife Sciences Publications Ltd. All rights reserved.","2021","2021-11-01 22:17:05","2021-11-12 20:04:48","","","","","10","","","","","","","","","","","","","Scopus","","","","Publisher: eLife Sciences Publications Ltd","","","","article; human; controlled study; nonhuman; Humans; half life time; Hot Temperature; Models, Biological; COVID-19; SARS-CoV-2; Humidity; Severe acute respiratory syndrome coronavirus 2; virus transmission; humidity; biological model; growth, development and aging; heat; low temperature; temperature sensitivity; virus inactivation; Virus Inactivation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VE7ZQWMZ","journalArticle","2013","Milton, D.K.; Fabian, M.P.; Cowling, B.J.; Grantham, M.L.; McDevitt, J.J.","Influenza Virus Aerosols in Human Exhaled Breath: Particle Size, Culturability, and Effect of Surgical Masks","PLoS Pathogens","","15537366 (ISSN)","10.1371/journal.ppat.1003205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875981136&doi=10.1371%2fjournal.ppat.1003205&partnerID=40&md5=976b1c37f98fa58812e032b8c49dd2a3","The CDC recommends that healthcare settings provide influenza patients with facemasks as a means of reducing transmission to staff and other patients, and a recent report suggested that surgical masks can capture influenza virus in large droplet spray. However, there is minimal data on influenza virus aerosol shedding, the infectiousness of exhaled aerosols, and none on the impact of facemasks on viral aerosol shedding from patients with seasonal influenza. We collected samples of exhaled particles (one with and one without a facemask) in two size fractions (""coarse"">5 μm, ""fine""≤5 μm) from 37 volunteers within 5 days of seasonal influenza onset, measured viral copy number using quantitative RT-PCR, and tested the fine-particle fraction for culturable virus. Fine particles contained 8.8 (95% CI 4.1 to 19) fold more viral copies than did coarse particles. Surgical masks reduced viral copy numbers in the fine fraction by 2.8 fold (95% CI 1.5 to 5.2) and in the coarse fraction by 25 fold (95% CI 3.5 to 180). Overall, masks produced a 3.4 fold (95% CI 1.8 to 6.3) reduction in viral aerosol shedding. Correlations between nasopharyngeal swab and the aerosol fraction copy numbers were weak (r = 0.17, coarse; r = 0.29, fine fraction). Copy numbers in exhaled breath declined rapidly with day after onset of illness. Two subjects with the highest copy numbers gave culture positive fine particle samples. Surgical masks worn by patients reduce aerosols shedding of virus. The abundance of viral copies in fine particle aerosols and evidence for their infectiousness suggests an important role in seasonal influenza transmission. Monitoring exhaled virus aerosols will be important for validation of experimental transmission studies in humans. © 2013 Milton et al.","2013","2021-11-01 22:17:04","2021-11-12 20:04:44","","","","3","9","","","","","","","","","","","","","Scopus","","","","Publisher: Public Library of Science","","","","article; female; human; male; asthma; clinical article; fever; nonhuman; risk; disease transmission; aerosol; exhalation; particle size; Influenza virus; correlation analysis; cultural anthropology; reverse transcription polymerase chain reaction; surgical mask","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWD7CUXM","journalArticle","2020","Asadi, S.; Gaaloul ben Hnia, N.; Barre, R.S.; Wexler, A.S.; Ristenpart, W.D.; Bouvier, N.M.","Influenza A virus is transmissible via aerosolized fomites","Nature Communications","","20411723 (ISSN)","10.1038/s41467-020-17888-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089527596&doi=10.1038%2fs41467-020-17888-w&partnerID=40&md5=1de421e9934b60c25b15126e33c17db4","Influenza viruses are presumed, but not conclusively known, to spread among humans by several possible routes. We provide evidence of a mode of transmission seldom considered for influenza: airborne virus transport on microscopic particles called “aerosolized fomites.” In the guinea pig model of influenza virus transmission, we show that the airborne particulates produced by infected animals are mainly non-respiratory in origin. Surprisingly, we find that an uninfected, virus-immune guinea pig whose body is contaminated with influenza virus can transmit the virus through the air to a susceptible partner in a separate cage. We further demonstrate that aerosolized fomites can be generated from inanimate objects, such as by manually rubbing a paper tissue contaminated with influenza virus. Our data suggest that aerosolized fomites may contribute to influenza virus transmission in animal models of human influenza, if not among humans themselves, with important but understudied implications for public health. © 2020, The Author(s).","2020","2021-11-01 22:17:04","2021-11-12 20:00:25","","","","1","11","","","","","","","","","","","","","Scopus","","","","Publisher: Nature Research","","/Users/jodi/Zotero/storage/FXZ6A4A9/Asadi et al. - 2020 - Influenza A virus is transmissible via aerosolized.pdf; /Users/jodi/Zotero/storage/IK4KXGSJ/Asadi et al. - 2020 - Influenza A virus is transmissible via aerosolized.pdf; /Users/jodi/Zotero/storage/X7FXEXSD/s41467-020-17888-w.html; /Users/jodi/Zotero/storage/N96MSNK4/s41467-020-17888-w.html","","article; female; human; disease model; nonhuman; influenza; public health; Humans; Female; Animals; Disease Models, Animal; disease transmission; Animalia; Aerosols; Particle Size; Influenza, Human; aerosol; virology; Influenza A virus; virus transmission; animal; particle size; fomite; Fomites; animal experiment; animal model; animal tissue; detection method; airborne virus; Cavia; guinea pig; guinea pig model; Guinea Pigs; Influenza A virus (H3N2); Influenza A Virus, H3N2 Subtype; Orthomyxoviridae; Orthomyxoviridae Infections; orthomyxovirus infection; particulate matter; Particulate Matter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDGVB862","journalArticle","2020","Xiao, F.; Sun, J.; Xu, Y.; Li, F.; Huang, X.; Li, H.; Zhao, J.; Huang, J.; Zhao, J.","Infectious SARS-CoV-2 in feces of patient with severe COVID-19","Emerging Infectious Diseases","","10806040 (ISSN)","10.3201/eid2608.200681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086380469&doi=10.3201%2feid2608.200681&partnerID=40&md5=1a38cf7f915c61942b91065a5bd5e78a","Severe acute respiratory syndrome coronavirus 2 was isolated from feces of a patient in China with coronavirus disease who died. Confirmation of infectious virus in feces affirms the potential for fecal–oral or fecal–respiratory transmission and warrants further study. © 2020 Centers for Disease Control and Prevention (CDC). All rights reserved.","2020","2021-11-01 22:17:03","2021-11-12 19:54:57","","1920-1922","","8","26","","","","","","","","","","","","","Scopus","","","","Publisher: Centers for Disease Control and Prevention (CDC)","","/Users/jodi/Zotero/storage/HQW8KEUD/Xiao et al. - Infectious SARS-CoV-2 in Feces of Patient with Sev.pdf; /Users/jodi/Zotero/storage/TEX4FWAA/Xiao et al. - 2020 - Infectious SARS-CoV-2 in Feces of Patient with Sev.pdf; ; /Users/jodi/Zotero/storage/I25SR5Q6/20-0681_article.html","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7392466/","aged; case report; human; male; disease severity; clinical article; fever; human tissue; throat culture; pathophysiology; controlled study; computer assisted tomography; nonhuman; feces; x-ray computed tomography; coughing; death; artificial ventilation; genetics; Humans; Male; Aged; Respiration, Artificial; biosynthesis; Pandemics; Pneumonia, Viral; Tomography, X-Ray Computed; Betacoronavirus; Coronavirus Infections; Clinical Laboratory Techniques; Antibodies, Viral; procedures; pandemic; Article; Cough; RNA, Viral; animal cell; coronavirus disease 2019; Coronavirus infection; high throughput sequencing; real time reverse transcription polymerase chain reaction; Severe acute respiratory syndrome coronavirus 2; virology; virus detection; virus pneumonia; virus RNA; virus transmission; virus antibody; virus shedding; virus load; immunology; pathogenicity; feces analysis; neutralizing antibody; Viral Load; virus antigen; antibody response; cytopathogenic effect; Fatal Outcome; fatality; Feces; Fever; gastrointestinal epithelium; immunofluorescence test; immunoglobulin G antibody; laboratory technique; open reading frame; transmission electron microscopy; virus gene; virus infectivity; virus isolation; virus neutralization; virus nucleoprotein","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RT7F8GC3","journalArticle","2020","Kim, Y.-I.; Kim, S.-G.; Kim, S.-M.; Kim, E.-H.; Park, S.-J.; Yu, K.-M.; Chang, J.-H.; Kim, E.J.; Lee, S.; Casel, M.A.B.; Um, J.; Song, M.-S.; Jeong, H.W.; Lai, V.D.; Kim, Y.; Chin, B.S.; Park, J.-S.; Chung, K.-H.; Foo, S.-S.; Poo, H.; Mo, I.-P.; Lee, O.-J.; Webby, R.J.; Jung, J.U.; Choi, Y.K.","Infection and Rapid Transmission of SARS-CoV-2 in Ferrets","Cell Host and Microbe","","19313128 (ISSN)","10.1016/j.chom.2020.03.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083156549&doi=10.1016%2fj.chom.2020.03.023&partnerID=40&md5=d9c8621358e3762d9121eec618025a70","The outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in China and rapidly spread worldwide. To prevent SARS-CoV-2 dissemination, understanding the in vivo characteristics of SARS-CoV-2 is a high priority. We report a ferret model of SARS-CoV-2 infection and transmission that recapitulates aspects of human disease. SARS-CoV-2-infected ferrets exhibit elevated body temperatures and virus replication. Although fatalities were not observed, SARS-CoV-2-infected ferrets shed virus in nasal washes, saliva, urine, and feces up to 8 days post-infection. At 2 days post-contact, SARS-CoV-2 was detected in all naive direct contact ferrets. Furthermore, a few naive indirect contact ferrets were positive for viral RNA, suggesting airborne transmission. Viral antigens were detected in nasal turbinate, trachea, lungs, and intestine with acute bronchiolitis present in infected lungs. Thus, ferrets represent an infection and transmission animal model of COVID-19 that may facilitate development of SARS-CoV-2 therapeutics and vaccines. © 2020 Elsevier Inc. The outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) rapidly spreads, leading to a pandemic infection. Kim et al. show that ferrets are highly susceptible to SARS-CoV-2 infection and effectively transmit the virus by direct or indirect contact, recapitulating human infection and transmission. © 2020 Elsevier Inc.","2020","2021-11-01 22:17:03","2021-11-12 20:02:32","","704-709.e2","","5","27","","","","","","","","","","","","","Scopus","","","","Publisher: Cell Press","","","","female; male; priority journal; urine; controlled study; disease model; nonhuman; feces; saliva; intestine; Animals; COVID-19; Pandemics; Pneumonia, Viral; Betacoronavirus; Coronavirus Infections; Antibodies, Viral; Viral Vaccines; Disease Models, Animal; SARS-CoV-2; pandemic; disease transmission; Article; transmission; ferrets; coronavirus disease 2019; Coronavirus infection; Severe acute respiratory syndrome coronavirus 2; virus detection; virus pneumonia; virus RNA; animal; virus antibody; virus shedding; Virus Shedding; Ferrets; immunology; Mustela putorius furo; lung; pathology; severe acute respiratory syndrome coronavirus 2; animal experiment; animal model; virus replication; animal tissue; virus antigen; virus vaccine; fatality; 2019-nCoV; 2019-novel coronavirus; body temperature; bronchiolitis; novel coronavirus disease; serum; trachea; turbinate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3FXKD5VE","journalArticle","2020","Cowling, B.J.; Ali, S.T.; Ng, T.W.Y.; Tsang, T.K.; Li, J.C.M.; Fong, M.W.; Liao, Q.; Kwan, M.Y.; Lee, S.L.; Chiu, S.S.; Wu, J.T.; Wu, P.; Leung, G.M.","Impact assessment of non-pharmaceutical interventions against coronavirus disease 2019 and influenza in Hong Kong: an observational study","The Lancet Public Health","","24682667 (ISSN)","10.1016/S2468-2667(20)30090-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083482475&doi=10.1016%2fS2468-2667%2820%2930090-6&partnerID=40&md5=1be32bcb38271b8f870b9d1792667b82","Background: A range of public health measures have been implemented to suppress local transmission of coronavirus disease 2019 (COVID-19) in Hong Kong. We examined the effect of these interventions and behavioural changes of the public on the incidence of COVID-19, as well as on influenza virus infections, which might share some aspects of transmission dynamics with COVID-19. Methods: We analysed data on laboratory-confirmed COVID-19 cases, influenza surveillance data in outpatients of all ages, and influenza hospitalisations in children. We estimated the daily effective reproduction number (Rt) for COVID-19 and influenza A H1N1 to estimate changes in transmissibility over time. Attitudes towards COVID-19 and changes in population behaviours were reviewed through three telephone surveys done on Jan 20–23, Feb 11–14, and March 10–13, 2020. Findings: COVID-19 transmissibility measured by Rt has remained at approximately 1 for 8 weeks in Hong Kong. Influenza transmission declined substantially after the implementation of social distancing measures and changes in population behaviours in late January, with a 44% (95% CI 34–53%) reduction in transmissibility in the community, from an estimated Rt of 1·28 (95% CI 1·26–1·30) before the start of the school closures to 0·72 (0·70–0·74) during the closure weeks. Similarly, a 33% (24–43%) reduction in transmissibility was seen based on paediatric hospitalisation rates, from an Rt of 1·10 (1·06–1·12) before the start of the school closures to 0·73 (0·68–0·77) after school closures. Among respondents to the surveys, 74·5%, 97·5%, and 98·8% reported wearing masks when going out, and 61·3%, 90·2%, and 85·1% reported avoiding crowded places in surveys 1 (n=1008), 2 (n=1000), and 3 (n=1005), respectively. Interpretation: Our study shows that non-pharmaceutical interventions (including border restrictions, quarantine and isolation, distancing, and changes in population behaviour) were associated with reduced transmission of COVID-19 in Hong Kong, and are also likely to have substantially reduced influenza transmission in early February, 2020. Funding: Health and Medical Research Fund, Hong Kong. © 2020 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license","2020","2021-11-01 22:17:02","2021-11-12 20:01:35","","e279-e288","","5","5","","","","","","","","","","","","","Scopus","","","","Publisher: Elsevier Ltd","","/Users/jodi/Zotero/storage/X6PC23U5/Cowling et al. - 2020 - Impact assessment of non-pharmaceutical interventi.pdf; /Users/jodi/Zotero/storage/2RE38PHM/Cowling et al. - 2020 - Impact assessment of non-pharmaceutical interventi.pdf; ; ","http://www.ncbi.nlm.nih.gov/pubmed/32311320; http://www.ncbi.nlm.nih.gov/pubmed/32311320","adult; human; major clinical study; incidence; priority journal; fever; child; risk assessment; coughing; influenza; cross-sectional study; epidemic; hospitalization; behavior change; Humans; Adult; Cross-Sectional Studies; Child; Incidence; Hospitalization; Risk Assessment; Hong Kong; Pandemics; Pneumonia, Viral; Health Knowledge, Attitudes, Practice; Betacoronavirus; Coronavirus Infections; pandemic; Article; Influenza A Virus, H1N1 Subtype; Influenza, Human; coronavirus disease 2019; Coronavirus infection; isolation and purification; Severe acute respiratory syndrome coronavirus 2; virus pneumonia; quarantine; SARS coronavirus; social distance; attitude to health; disease predisposition; disease surveillance; health impact assessment; influenza A (H1N1); Influenza A virus (H1N1); Monte Carlo method; seasonal influenza; sore throat","COVID-19; SARS-CoV-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QC8FSFS6","journalArticle","1979","Taguchi, F.; Yamada, A.; Fujiwara, K.","Factors involved in the age-dependent resistance of mice infected with low-virulence mouse hepatitis virus","Archives of Virology","","03048608 (ISSN)","10.1007/BF01318107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018687355&doi=10.1007%2fBF01318107&partnerID=40&md5=be1b8c7fbac5a21ac9496831906319b8","Four-week-old weanling mice survived, whereas 1-week-old suckling mice died, after intraperitoneal inoculation of mouse hepatitis virus, MHV-S strain. The factors involved in this difference in susceptibility were studied. After virus inoculation, differences in virus growth in the liver and spleen were observed, which correlated with the susceptibility of animals to the virus. Interferon, detected at an early stage of infection, was considerably lower in suckling mice than in weanling mice. Titers of MHV-S in peritoneal cells from infected animals were at least 100 times greater in suckling than in weanling mice, and a similar, but less prominent difference in virus growth was also found in the corresponding cultured macrophages. After transfer of peritoneal cells from weanling to suckling mice, a decrease in mortality of infected suckling mice was observed. These results suggest that both interferon and macrophages may be important in the age-dependent resistance of mice to MHV-S infection. © 1979 Springer-Verlag.","1979","2021-11-01 22:17:02","2021-11-12 20:06:42","","333-340","","4","62","","","","","","","","","","","","","Scopus","","","","Publisher: Springer-Verlag","","/Users/jodi/Zotero/storage/TQKSQVMR/Taguchi et al. - 1979 - Factors involved in the age-dependent resistance o.pdf","","in vitro study; Animal; Mice; Cells, Cultured; Aging; Liver; Virulence; experimental infection; animal experiment; mouse; Animals, Suckling; Ascitic Fluid; Comparative Study; Hepatitis, Viral, Animal; Interferons; Macrophages; murine hepatitis coronavirus; Murine hepatitis virus; Spleen; virus infection; Virus Replication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U3TWS9J3","journalArticle","1966","Alford, R.H.; Kasel, J.A.; Gerone, P.J.; Knight, V.","Human Influenza Resulting from Aerosol Inhalation","Proceedings of the Society for Experimental Biology and Medicine","","00379727 (ISSN)","10.3181/00379727-122-31255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0013933731&doi=10.3181%2f00379727-122-31255&partnerID=40&md5=538f4882ca76f3ba1eac449c624cc68c","Volunteers were given A2 influenza virus in a small-particle aerosol. Infection and typical influenza resulted from low doses of virus administered in this manner. Low levels of serum neutralizing antibody were not completely effective in preventing infection and illness. The human infectious dose of this influenza strain when administered by aerosol to subjects free of serum neutralizing antibody was approximately 3 TCID50. Gratitude is expressed to Dr. David W. Ailing for assistance with the statistics and in calculating dosages; Mr. Edward W. Harvey, Mr. Irven B. Stacy, Mr. Leonard P. Durocher, and Mr. James Turner for technical assistance; and Mr. Edward P. Derren-bacher aand Mr. Charles O. Masemore for assistance with volunteer inoculations. © 1966, SAGE Publications. All rights reserved.","1966","2021-11-01 22:17:02","2021-11-12 20:00:10","","800-804","","3","122","","","","","","","","","","","","","Scopus","","","","","","","","adult; article; human; male; influenza; Human; Male; Adult; Influenza; microbiology; Aerosols; Air Microbiology; aerosol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4EN2D7MI","journalArticle","2020","Hamner, L.; Dubbel, P.; Capron, I.; Ross, A.; Jordan, A.; Lee, J.; Lynn, J.; Ball, A.; Narwal, S.; Russell, S.; Patrick, D.; Leibrand, H.","High SARS-CoV-2 attack rate following exposure at a choir practice - Skagit county, Washington, March 2020","Morbidity and Mortality Weekly Report","","01492195 (ISSN)","10.15585/MMWR.MM6919E6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084786253&doi=10.15585%2fMMWR.MM6919E6&partnerID=40&md5=143141c77c16c5ead42d42c925f5bf91","","2020","2021-11-01 22:17:02","2021-11-12 20:02:12","","606-610","","19","69","","","","","","","","","","","","","Scopus","","","","Publisher: Department of Health and Human Services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
